2026-01-20T12:22:59.8705280Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&rimuovi=tp&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=mr&sg=60&st=2
2026-01-20T12:22:59.9931925Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=mr&sg=60&st=2\tct=71&gr=259&rimuovi=tp&sg=60&st=2&tp=146
2026-01-20T12:23:00.1163490Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&rimuovi=tp&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=mr&sg=60&st=2
2026-01-20T12:23:00.2558527Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=mr&sg=60&st=2\tct=71&gr=259&rimuovi=tp&sg=60&st=2&tp=146
2026-01-20T12:23:00.4688841Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=gr&sg=60&st=2&tp=146\tct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146
2026-01-20T12:23:00.5919075Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146
2026-01-20T12:23:00.7141195Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146\tct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146
2026-01-20T12:23:00.8361242Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146
2026-01-20T12:23:00.9581213Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146\tct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146
2026-01-20T12:23:01.0796860Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146
2026-01-20T12:23:01.2011431Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146\tct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146
2026-01-20T12:23:01.3239222Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146
2026-01-20T12:23:01.4456292Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146\tct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146
2026-01-20T12:23:01.5677124Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146
2026-01-20T12:23:01.6900174Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=gr&st=2&tp=146\tct=71&mr=323&rimuovi=sg&sg=60&st=2&tp=146
2026-01-20T12:23:01.9251353Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=mr&sg=60&st=2&tp=146\tct=71&gr=259&rimuovi=sg&sg=60&st=2&tp=146
2026-01-20T12:23:02.0471649Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&rimuovi=sg&sg=60&st=2&tp=146\tct=71&gr=259&mr=323&rimuovi=mr&st=2&tp=146
2026-01-20T12:23:02.1683746Z\t/articoli.aspx\t-1\t74.7.227.173\tMozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)\thttps://www.taikun.it/articoli.aspx?ct=71&gr=259&mr=323&rimuovi=mr&st=2&tp=146\tct=71&gr=259&rimuovi=sg&sg=60&st=2&tp=146
