Settore;Categoria;Tipologia;Codice;Descrizione1;Disponibilita;Marca;Prezzo;Peso;DescrizioneLungaHtml;Aliquota;UrlImgBig
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Auricolari";"8033140052457";"MICRO AURICOLARE KEYTECK BLUETHOOT PER 2 CELLULARI CONT. V2.0+EDR B-TINY";"Disponibile";"KEYTECK";"19,98";"2";"<p>B-TINY Micro-Auricolare Bluetooth V2.0+EDR.<br>Micro-Auricolare Bluetooth B-Tiny per cellulare. Comodo per gestire le chiamate senza fare uso delle mani, utile per utilizzare il cellulare quando si &egrave; in movimento o impegnati in altre azioni come alla guida di un'auto. Piccolo e leggero, questo elegante auricolare &egrave; facile e comodo da indossare su entrambi i lati. Facile da utilizzare grazie alla sua semplice struttura che consente un agevole gestione delle chiamate e della regolazione del volume grazie a suoi tasti posti sul lato dell'auricolare. B-Tiny &egrave; un prodotto innovativo che rivoluzioner&agrave; il modo di comunicare con il cellulare, mandando in cantina gli obsoleti auricolari ingombranti e con scarsa durata della batteria. <br><br>- Durata fino a 150 ore in modalit&agrave; Stand-By;<br>- Durata fino a 5 ore in modalit&agrave; Chiamata;<br>- Interfaccia facile da usare;<br>- Design compatto ed elegante;<br>- Ultra leggero: 5,5gr;<br>- Adattabile su entrambi i lati;</p>";"20";"http://www.entropic.it/Public/foto/auricolare keyteck b-tiny.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Auricolari";"BH-105";"AURICOLARE BLUETOOTH NOKIA BH-105 HEADSET";"Disponibile";"SAMSUNG";"14,00";"1,5";"<p>Semplice ma elegante, l'auricolare Bluetooth Nokia BH-105 unisce pratiche funzionalit&agrave; a un design accattivante. design Con il suo design sottile e leggero e la clip di fissaggio rimovibile, questo auricolare senza fili ti permette di comunicare comodamente e con stile. gestione delle chiamate Rispondi, termina e rifiuta le chiamate con il pratico tasto integrato, o utilizza l'auricolare con il tuo telefono cellulare compatibile per le chiamate a riconoscimento vocale e la richiamata. multifunzionale Che tu sia a casa o in movimento, parla a mani libere, senza fili, mentre ti occupi contemporaneamente di altre cose.</p>";"20";"http://www.entropic.it/Public/foto/auricolare_nokia_bh-105.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Auricolari";"WEP350EKEC";"AURICOLARE BLUETOOTH SAMSUNG WEP350 HELLO KITTY";"Non Disponibile";"SAMSUNG";"24,50";"1,5";"<p>Bluetooth WEP350 Hello Kitty Design minimalista e ultra sottile (5,9mm). Altra caratteristica i colori ricercati e la cura del particolare: 3 tipi di gommini realizzati con materiali specifici perfettamente ergonomici ed un gancio removibile, per fissarlo all'orecchio. L'auricolare Samsung WEP 350 supporta fino a 5 ore di conversazione e fino a 100 ore in stand by, oltre ad offrire un'esperienza di connessione senza fili di qualit&agrave; superiore, libera da rumori di fondo o cadute della connessione, grazie al protocollo Bluetooth 2.0 che supporta uno scambio dati frequenti per un massimo di 2Mbps. <br><br>Colore: White Hello Kitty</p>";"20";"http://www.entropic.it/Public/foto/auricolare_hellokitty_wep35.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Custodie Cellulari";"MPC-308B";"CUSTODIA TECHMADE PER IPHONE IN PELLE NERO";"Non Disponibile";"TECHMADE";"5,20";"0,5";"<p>La custodia TECHMADE MPC-308 realizzata in morbida similpelle, avvolge come una &quot;seconda pelle&quot; il tuo IPHONE proteggendolo da urti e graffi.<br>Grazie alla chiusura a CLIP calamitata, hai facile accesso ai pulsanti del tuo telefonino.<br><br><br> Specifiche prodotto:<br>Morbida Similpelle<br>Chiusura a CLIP calamitata<br>Design funzionale<br><br> Contenuto confezione:<br>- Custodia SIMILPELLE<br><br> Colori disponibili<br>NERO</p>";"20";"http://www.entropic.it/Public/foto/custodia iphone mpc-308b.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Custodie Cellulari";"MPC-308P";"CUSTODIA TECHMADE PER IPHONE IN PELLE ROSA";"Non Disponibile";"TECHMADE";"5,20";"0,5";"<p>La custodia TECHMADE MPC-308 realizzata in morbida similpelle, avvolge come una &quot;seconda pelle&quot; il tuo IPHONE proteggendolo da urti e graffi.<br>Grazie alla chiusura a CLIP calamitata, hai facile accesso ai pulsanti del tuo telefonino.<br><br><br> Specifiche prodotto:<br>Morbida Similpelle<br>Chiusura a CLIP calamitata<br>Design funzionale<br><br> Contenuto confezione:<br>- Custodia SIMILPELLE<br><br> Colori disponibili<br>ROSA</p>";"20";"http://www.entropic.it/Public/foto/custodia iphone mpc-308p.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Supporto per auto";"STD-PH";"SUPPORTO DA AUTO KEYTECK PER IPHONE 3G / 3GS A BRACCIO FLESSIBILE A VENTOSA";"Disponibile";"KEYTECK";"4,78";"2";"<p>Supporto da auto per IPHONE 3G / 3GS.<br>La ventosa garantisce una presa salda e sicura.<br>Grazie alla testata rotante &egrave; possibile orientare il display sia verticalmente che orizzonatlmente.<br><br>- Il vano, appositamente studiato, permette di alloggiare l' IPHONE reggendolo saldamente<br>- Testata rotante di 180° per orientamento display<br>- Braccio flessibile</p>";"20";"http://www.entropic.it/Public/foto/Supporto_da_auto_IPHONE-3G-3GS-STD-PH.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Supporto per auto";"STD-UV";"SUPPORTO DA AUTO KEYTECK UNIVERSALE PER PDA / SMARTPHONE / GPS  A BRACCIO FLESSIBILE A VENTOSA";"Disponibile";"KEYTECK";"4,78";"2";"<p>Supporto universale da auto per PDA, SMARTPHONE, GPS.<br>La ventosa garantisce una presa salda e sicura.<br>Grazie alla testata rotante &egrave; possibile orientare il display sia verticalmente che orizzonatlmente.<br><br>- Adatto ad ogni telefono<br>- Larghezza regolabile<br>- Pulsante per il rilascio automatico<br>- Piedi retrattili indipendenti con imbottitura antigraffio<br>- Supercici di contatto con imbottitura antigraffio<br>- Testata rotante di 180° per orientamento display<br>- Braccio flessibile</p>";"20";"http://www.entropic.it/Public/foto/SUPPORTO_KEYTECK_STD-UV-UNIVERSALE_AUTO_PDA-SMARTPHONE-GPS.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Supporto per auto";"FLEX1";"SUPPORTO PER CELLULARI A BRACCIO FLESSIBILE A VENTOSA PER MP3 PDA GPS FLEX1";"Non Disponibile";"CELLY";"6,80";"1,5";"<p>Fissaggio a ventosa, braccio flessibile lungo 19 cm, estensione supporto<br><br>da 3,8 a 11 cm per MP3, PDA e GPS, meccanismo di rotazione a 360°, <br><br>ganasce laterali estensibili in altezza, supporti inferiori estraibili, supporto <br><br>opzionale in dotazione.<br><br><br>   Caratteristiche principali:<br><br>. Braccio flessibile: 19 cm <br>. Testa sferica rotante a 360°<br>. Supporto regolabile in larghezza ed in altezza<br>. Apertura da 3,8cm  a  11 cm<br>. Ventosa fissaggio forte. Adatto per lettori mp3, pda, gps e telefoni cellulari.</p>";"20";"http://www.entropic.it/Public/foto/supporto-braccio-flessibile-flex1.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-01";"COVER IN TPU PER IPHONE 3G / 3GS NERA KEYTECK";"Disponibile";"KEYTECK";"2,30";"0,5";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-01.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-02";"COVER IN TPU PER IPHONE 3G / 3GS BIANCA KEYTECK";"Disponibile";"KEYTECK";"2,30";"0,5";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-02.jpg"
