Settore;Categoria;Tipologia;Gruppo;Ean;Codice;Descrizione1;DescrizioneLungaHtml;Giacenza;Marca;Prezzo;Peso;UrlImgBig;CostoSpedizioneProdo;CampoVuoto1
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Auricolari";"";"8033140052457";"8033140052457";"MICRO AURICOLARE KEYTECK BLUETHOOT PER 2 CELLULARI CONT. V2.0+EDR B-TINY";"<p>B-TINY Micro-Auricolare Bluetooth V2.0+EDR.<br>Micro-Auricolare Bluetooth B-Tiny per cellulare. Comodo per gestire le chiamate senza fare uso delle mani, utile per utilizzare il cellulare quando si &egrave; in movimento o impegnati in altre azioni come alla guida di un'auto. Piccolo e leggero, questo elegante auricolare &egrave; facile e comodo da indossare su entrambi i lati. Facile da utilizzare grazie alla sua semplice struttura che consente un agevole gestione delle chiamate e della regolazione del volume grazie a suoi tasti posti sul lato dell'auricolare. B-Tiny &egrave; un prodotto innovativo che rivoluzioner&agrave; il modo di comunicare con il cellulare, mandando in cantina gli obsoleti auricolari ingombranti e con scarsa durata della batteria. <br><br>- Durata fino a 150 ore in modalit&agrave; Stand-By;<br>- Durata fino a 5 ore in modalit&agrave; Chiamata;<br>- Interfaccia facile da usare;<br>- Design compatto ed elegante;<br>- Ultra leggero: 5,5gr;<br>- Adattabile su entrambi i lati;</p>";"1";"KEYTECK";"19,98";"2";"http://www.entropic.it/Public/foto/auricolare keyteck b-tiny.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Auricolari";"";"6438158032187";"BH-105";"AURICOLARE BLUETOOTH NOKIA BH-105 HEADSET";"<p>Semplice ma elegante, l'auricolare Bluetooth Nokia BH-105 unisce pratiche funzionalit&agrave; a un design accattivante. design Con il suo design sottile e leggero e la clip di fissaggio rimovibile, questo auricolare senza fili ti permette di comunicare comodamente e con stile. gestione delle chiamate Rispondi, termina e rifiuta le chiamate con il pratico tasto integrato, o utilizza l'auricolare con il tuo telefono cellulare compatibile per le chiamate a riconoscimento vocale e la richiamata. multifunzionale Che tu sia a casa o in movimento, parla a mani libere, senza fili, mentre ti occupi contemporaneamente di altre cose.</p>";"4";"NOKIA";"15,00";"1,5";"http://www.entropic.it/Public/foto/auricolare_nokia_bh-105.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Supporto per auto";"iPhone 3G/3G S";"8033140056974";"STD-PH";"SUPPORTO DA AUTO KEYTECK PER IPHONE 3G / 3GS A BRACCIO FLESSIBILE A VENTOSA";"<p>Supporto da auto per IPHONE 3G / 3GS.<br>La ventosa garantisce una presa salda e sicura.<br>Grazie alla testata rotante &egrave; possibile orientare il display sia verticalmente che orizzonatlmente.<br><br>- Il vano, appositamente studiato, permette di alloggiare l' IPHONE reggendolo saldamente<br>- Testata rotante di 180° per orientamento display<br>- Braccio flessibile</p>";"5";"KEYTECK";"4,78";"2";"http://www.entropic.it/Public/foto/Supporto_da_auto_IPHONE-3G-3GS-STD-PH.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"8033140056844";"CPH-02";"COVER IN TPU PER IPHONE 3G / 3GS BIANCA KEYTECK";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"5";"KEYTECK";"2,30";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-02.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"8033140056851";"CPH-03";"COVER IN TPU PER IPHONE 3G / 3GS ROSA KEYTECK";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"5";"KEYTECK";"2,30";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-03.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"8033140056882";"CPH-06";"COVER IN AIRHOLE PER IPHONE 3G / 3GS BIANCA KEYTECK";"<p>Cover per IPHONE 3G / 3GS biaca.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"4";"KEYTECK";"2,57";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-06.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"8033140056899";"CPH-07";"COVER IN AIRHOLE PER IPHONE 3G / 3GS NERA KEYTECK";"<p>Cover per IPHONE 3G / 3GS NERA.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"2";"KEYTECK";"2,57";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-07.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"8033140056905";"CPH-08";"COVER IN AIRHOLE PER IPHONE 3G / 3GS SILVER KEYTECK";"<p>Cover per IPHONE 3G / 3GS silver.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"4";"KEYTECK";"2,57";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-08.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"8033140057155";"CPH-12";"COVER IN AIRHOLE PER IPHONE 3G / 3GS ROSA KEYTECK";"<p>Cover per IPHONE 3G / 3GS rosa.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"2";"KEYTECK";"2,57";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-12.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone  4G";"8033140057162";"CPH-13";"COVER IN AIRHOLE PER IPHONE 4G BIANCA KEYTECK";"<p>Cover per IPHONE 4 bianca.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"2";"KEYTECK";"2,57";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-13.jpg";"5,5";""
